"1,Union SG,Anderlecht"
"1,Eupen,Westerlo"
"1,Charleroi,OH Leuven"
"1,RWDM,KRC Genk"
"1,Antwerp,Cercle Brugge"
"1,KAA Gent,KV Kortrijk"
"1,Club Brugge,KV Mechelen"
"1,STVV,Standard"
"2,Standard,Union SG"
"2,KRC Genk,Eupen"
"2,Cercle Brugge,Charleroi"
"2,OH Leuven,RWDM"
"2,Anderlecht,Antwerp"
"2,KV Mechelen,KAA Gent"
"2,Westerlo,Club Brugge"
"2,KV Kortrijk,STVV"
"3,Antwerp,KV Kortrijk"
"3,RWDM,KV Mechelen"
"3,Union SG,OH Leuven"
"3,STVV,Anderlecht"
"3,Cercle Brugge,KRC Genk"
"3,Eupen,Club Brugge"
"3,Charleroi,Standard"
"3,Westerlo,KAA Gent"
"4,OH Leuven,Antwerp"
"4,Standard,Cercle Brugge"
"4,KV Mechelen,Union SG"
"4,Anderlecht,Westerlo"
"4,KRC Genk,Charleroi"
"4,KAA Gent,STVV"
"4,Club Brugge,RWDM"
"4,KV Kortrijk,Eupen"
"5,Westerlo,KV Mechelen"
"5,Eupen,OH Leuven"
"5,KV Kortrijk,Standard"
"5,STVV,Cercle Brugge"
"5,Anderlecht,Charleroi"
"6,OH Leuven,KV Kortrijk"
"6,Cercle Brugge,Westerlo"
"6,KV Mechelen,Eupen"
"6,Standard,RWDM"
"6,KAA Gent,Club Brugge"
"6,Union SG,Antwerp"
"6,KRC Genk,Anderlecht"
"6,Charleroi,STVV"
"7,Westerlo,Antwerp"
"7,RWDM,Cercle Brugge"
"7,Union SG,KRC Genk"
"7,Club Brugge,Charleroi"
"7,Eupen,Standard"
"7,KV Kortrijk,Anderlecht"
"7,OH Leuven,KAA Gent"
"7,STVV,KV Mechelen"
"8,Standard,Westerlo"
"8,Charleroi,KV Kortrijk"
"8,KV Mechelen,OH Leuven"
"8,Antwerp,RWDM"
"8,KRC Genk,STVV"
"8,Cercle Brugge,Union SG"
"8,Anderlecht,Club Brugge"
"8,KAA Gent,Eupen"
"5,Antwerp,KAA Gent"
"5,RWDM,Union SG"
"5,Club Brugge,KRC Genk"
"9,KV Kortrijk,Cercle Brugge"
"9,Eupen,Anderlecht"
"9,OH Leuven,Standard"
"9,KV Mechelen,Antwerp"
"9,Union SG,Charleroi"
"9,KRC Genk,Westerlo"
"9,Club Brugge,STVV"
"9,RWDM,KAA Gent"
"10,Charleroi,RWDM"
"10,Cercle Brugge,OH Leuven"
"10,Westerlo,KV Kortrijk"
"10,Anderlecht,KV Mechelen"
"10,Standard,Club Brugge"
"10,Antwerp,Eupen"
"10,KAA Gent,KRC Genk"
"10,STVV,Union SG"
"11,Union SG,Eupen"
"11,KV Kortrijk,Club Brugge"
"11,RWDM,Westerlo"
"11,Charleroi,Antwerp"
"11,KRC Genk,KV Mechelen"
"11,Cercle Brugge,KAA Gent"
"11,Standard,Anderlecht"
"11,OH Leuven,STVV"
"12,STVV,RWDM"
"12,KV Mechelen,Cercle Brugge"
"12,Eupen,Charleroi"
"12,Anderlecht,OH Leuven"
"12,Club Brugge,Antwerp"
"12,Westerlo,Union SG"
"12,KAA Gent,Standard"
"12,KV Kortrijk,KRC Genk"
"13,STVV,Eupen"
"13,RWDM,KV Kortrijk"
"13,OH Leuven,Westerlo"
"13,Antwerp,KRC Genk"
"13,Cercle Brugge,Anderlecht"
"13,Standard,KV Mechelen"
"13,Union SG,Club Brugge"
"13,Charleroi,KAA Gent"
"14,Westerlo,STVV"
"14,Antwerp,Standard"
"14,Eupen,RWDM"
"14,KV Mechelen,Charleroi"
"14,Club Brugge,Cercle Brugge"
"14,KRC Genk,OH Leuven"
"14,KAA Gent,Anderlecht"
"14,Union SG,KV Kortrijk"
"15,STVV,Antwerp"
"15,Cercle Brugge,Eupen"
"15,Charleroi,Westerlo"
"15,Standard,KRC Genk"
"15,KAA Gent,Union SG"
"15,OH Leuven,Club Brugge"
"15,Anderlecht,RWDM"
"15,KV Kortrijk,KV Mechelen"
"16,Westerlo,Anderlecht"
"16,KV Mechelen,STVV"
"16,Eupen,KV Kortrijk"
"16,Antwerp,OH Leuven"
"16,KRC Genk,KAA Gent"
"16,RWDM,Charleroi"
"16,Club Brugge,Standard"
"16,Union SG,Cercle Brugge"
"17,STVV,OH Leuven"
"17,Cercle Brugge,Antwerp"
"17,KV Kortrijk,Westerlo"
"17,KAA Gent,RWDM"
"17,KV Mechelen,Club Brugge"
"17,Eupen,KRC Genk"
"17,Anderlecht,Standard"
"17,Charleroi,Union SG"
"18,Westerlo,Eupen"
"18,OH Leuven,Cercle Brugge"
"18,RWDM,STVV"
"18,Standard,Charleroi"
"18,Club Brugge,KAA Gent"
"18,Union SG,KV Mechelen"
"18,Antwerp,Anderlecht"
"18,KRC Genk,KV Kortrijk"
"19,Cercle Brugge,KV Kortrijk"
"19,KV Mechelen,Standard"
"19,KAA Gent,OH Leuven"
"19,RWDM,Club Brugge"
"19,Eupen,Union SG"
"19,Antwerp,Westerlo"
"19,STVV,Charleroi"
"19,Anderlecht,KRC Genk"
"20,KRC Genk,Antwerp"
"20,KV Kortrijk,KAA Gent"
"20,OH Leuven,Eupen"
"20,Westerlo,RWDM"
"20,Club Brugge,Union SG"
"20,Standard,STVV"
"20,Anderlecht,Cercle Brugge"
"20,Charleroi,KV Mechelen"
"21,KAA Gent,KV Mechelen"
"21,KRC Genk,Cercle Brugge"
"21,Standard,KV Kortrijk"
"21,Club Brugge,Westerlo"
"21,Antwerp,Charleroi"
"21,Union SG,STVV"
"21,OH Leuven,Anderlecht"
"21,RWDM,Eupen"
"22,STVV,KRC Genk"
"22,KV Kortrijk,OH Leuven"
"22,Cercle Brugge,Standard"
"22,KV Mechelen,RWDM"
"22,KAA Gent,Westerlo"
"22,Charleroi,Club Brugge"
"22,Eupen,Antwerp"
"22,Anderlecht,Union SG"
"23,Standard,Antwerp"
"23,STVV,KAA Gent"
"23,Union SG,RWDM"
"23,Charleroi,Eupen"
"23,KV Mechelen,Anderlecht"
"23,Club Brugge,KV Kortrijk"
"23,OH Leuven,KRC Genk"
"23,Westerlo,Cercle Brugge"
"24,Cercle Brugge,STVV"
"24,KV Kortrijk,Charleroi"
"24,Eupen,KV Mechelen"
"24,Anderlecht,KAA Gent"
"24,Westerlo,OH Leuven"
"24,RWDM,Standard"
"24,KRC Genk,Union SG"
"24,Antwerp,Club Brugge"
"25,RWDM,Antwerp"
"25,Charleroi,Anderlecht"
"25,KAA Gent,Cercle Brugge"
"25,KV Mechelen,KRC Genk"
"25,STVV,KV Kortrijk"
"25,Standard,OH Leuven"
"25,Club Brugge,Eupen"
"25,Union SG,Westerlo"
"26,Anderlecht,STVV"
"26,Antwerp,KV Mechelen"
"26,Westerlo,Standard"
"26,KV Kortrijk,Union SG"
"26,Eupen,KAA Gent"
"26,OH Leuven,Charleroi"
"26,KRC Genk,RWDM"
"26,Cercle Brugge,Club Brugge"
"27,STVV,Westerlo"
"27,KAA Gent,Antwerp"
"27,KV Mechelen,KV Kortrijk"
"27,Eupen,Cercle Brugge"
"27,RWDM,OH Leuven"
"27,Union SG,Standard"
"27,Club Brugge,Anderlecht"
"27,Charleroi,KRC Genk"
"28,Antwerp,STVV"
"28,KRC Genk,Club Brugge"
"28,OH Leuven,Union SG"
"28,Anderlecht,Eupen"
"28,KV Kortrijk,RWDM"
"28,Westerlo,Charleroi"
"28,Cercle Brugge,KV Mechelen"
"28,Standard,KAA Gent"
"29,Club Brugge,OH Leuven"
"29,KV Mechelen,Westerlo"
"29,KV Kortrijk,Antwerp"
"29,Eupen,STVV"
"29,RWDM,Anderlecht"
"29,Union SG,KAA Gent"
"29,KRC Genk,Standard"
"29,Charleroi,Cercle Brugge"
"30,Standard,Eupen"
"30,Cercle Brugge,RWDM"
"30,Antwerp,Union SG"
"30,STVV,Club Brugge"
"30,KAA Gent,Charleroi"
"30,OH Leuven,KV Mechelen"
"30,Anderlecht,KV Kortrijk"
"30,Westerlo,KRC Genk"
